innovation,scheme,adoption_scenario,investment,annual_returns,cumulative_returns,discounted_returns,total_return,roi,roi_percentage,discounted_roi,discounted_roi_percentage,npv,payback_period
AI Diagnostic Tool,SBRI Healthcare,slow,130000.0,"[300000.0, 900000.0, 1800000.0, 2400000.0, 3000000.0]","[300000.0, 1200000.0, 3000000.0, 5400000.0, 8400000.0]","[289855.0724637681, 840159.6303297627, 1623496.8702024403, 2091461.3464765737, 2525919.5005755727]",8400000.0,63.61538461538461,6361.538461538461,55.699172461908596,5569.917246190859,7240892.420048118,1
AI Diagnostic Tool,SBRI Healthcare,medium,130000.0,"[600000.0, 1500000.0, 2700000.0, 3600000.0, 4200000.0]","[600000.0, 2100000.0, 4800000.0, 8400000.0, 12600000.0]","[579710.1449275363, 1400266.0505496045, 2435245.30530366, 3137192.0197148607, 3536287.3008058015]",12600000.0,95.92307692307692,9592.307692307691,84.29769862539587,8429.769862539586,10958700.821301462,1
AI Diagnostic Tool,SBRI Healthcare,fast,130000.0,"[1200000.0, 2400000.0, 3600000.0, 4500000.0, 5100000.0]","[1200000.0, 3600000.0, 7200000.0, 11700000.0, 16800000.0]","[1159420.2898550725, 2240425.6808793675, 3246993.7404048806, 3921490.024643576, 4294063.150978473]",16800000.0,128.23076923076923,12823.076923076922,113.32609912893359,11332.609912893358,14732392.886761367,1
Remote Monitoring Device,SBRI Healthcare,slow,200000.0,"[315000.0, 945000.0, 1890000.0, 2520000.0, 3150000.0]","[315000.0, 1260000.0, 3150000.0, 5670000.0, 8820000.0]","[304347.82608695654, 882167.6118462508, 1704671.7137125623, 2196034.4138004025, 2652215.475604351]",8820000.0,43.1,4310.0,37.697185205252616,3769.7185205252617,7539437.0410505235,1
Remote Monitoring Device,SBRI Healthcare,medium,200000.0,"[630000.0, 1575000.0, 2835000.0, 3780000.0, 4410000.0]","[630000.0, 2205000.0, 5040000.0, 8820000.0, 13230000.0]","[608695.6521739131, 1470279.3530770848, 2557007.5705688433, 3294051.620700604, 3713101.6658460917]",13230000.0,65.15,6515.000000000001,57.21567931183267,5721.567931183267,11443135.862366535,1
Remote Monitoring Device,SBRI Healthcare,fast,200000.0,"[1260000.0, 2520000.0, 3780000.0, 4725000.0, 5355000.0]","[1260000.0, 3780000.0, 7560000.0, 12285000.0, 17640000.0]","[1217391.3043478262, 2352446.9649233357, 3409343.4274251247, 4117564.5258757547, 4508766.308527397]",17640000.0,87.2,8720.0,77.02756265549719,7702.7562655497195,15405512.531099439,1
Smart Wound Care,SBRI Healthcare,slow,60000.0,"[300000.0, 900000.0, 1800000.0, 2400000.0, 3000000.0]","[300000.0, 1200000.0, 3000000.0, 5400000.0, 8400000.0]","[289855.0724637681, 840159.6303297627, 1623496.8702024403, 2091461.3464765737, 2525919.5005755727]",8400000.0,139.0,13900.0,121.84820700080196,12184.820700080196,7310892.420048118,1
Smart Wound Care,SBRI Healthcare,medium,60000.0,"[600000.0, 1500000.0, 2700000.0, 3600000.0, 4200000.0]","[600000.0, 2100000.0, 4800000.0, 8400000.0, 12600000.0]","[579710.1449275363, 1400266.0505496045, 2435245.30530366, 3137192.0197148607, 3536287.3008058015]",12600000.0,209.0,20900.0,183.81168035502438,18381.168035502436,11028700.821301462,1
Smart Wound Care,SBRI Healthcare,fast,60000.0,"[1200000.0, 2400000.0, 3600000.0, 4500000.0, 5100000.0]","[1200000.0, 3600000.0, 7200000.0, 11700000.0, 16800000.0]","[1159420.2898550725, 2240425.6808793675, 3246993.7404048806, 3921490.024643576, 4294063.150978473]",16800000.0,279.0,27900.0,246.70654811268946,24670.654811268945,14802392.886761367,1
Digital Therapeutic for Diabetes,NHS Innovation Accelerator,slow,400000.0,"[1500000.0, 3750000.0, 6000000.0, 7500000.0, 9000000.0]","[1500000.0, 5250000.0, 11250000.0, 18750000.0, 27750000.0]","[1449275.3623188406, 3500665.1263740114, 5411656.234008134, 6535816.707739293, 7577758.501726718]",27750000.0,68.375,6837.5,60.187929830417495,6018.79298304175,24075171.932166997,1
Digital Therapeutic for Diabetes,NHS Innovation Accelerator,medium,400000.0,"[3000000.0, 6000000.0, 9000000.0, 10500000.0, 12000000.0]","[3000000.0, 9000000.0, 18000000.0, 28500000.0, 40500000.0]","[2898550.724637681, 5601064.202198418, 8117484.351012201, 9150143.39083501, 10103678.00230229]",40500000.0,100.25,10025.0,88.677301677464,8867.7301677464,35470920.6709856,1
Digital Therapeutic for Diabetes,NHS Innovation Accelerator,fast,400000.0,"[4500000.0, 8250000.000000001, 11250000.0, 12750000.0, 13500000.0]","[4500000.0, 12750000.0, 24000000.0, 36750000.0, 50250000.0]","[4347826.086956522, 7701463.278022826, 10146855.438765252, 11110888.403156798, 11366637.752590077]",50250000.0,124.625,12462.5,110.68417739872869,11068.41773987287,44273670.95949148,1
Telehealth Platform,NHS Innovation Accelerator,slow,330000.0,"[1000000.0, 2500000.0, 4000000.0, 5000000.0, 6000000.0]","[1000000.0, 3500000.0, 7500000.0, 12500000.0, 18500000.0]","[966183.5748792271, 2333776.7509160074, 3607770.8226720896, 4357211.138492862, 5051839.001151145]",18500000.0,55.06060606060606,5506.060606060606,48.444791782155555,4844.479178215555,15986781.288111333,1
